"station_id","longitude","latitude"
"stazione001",12.4115311541272,46.5160258517833
"stazione002",12.7950421864305,45.6179775094243
"stazione003",12.5107794956022,45.677041239926
"stazione004",11.7567266494098,45.3721081374311
"stazione005",11.431369603656,45.698656257873
"stazione006",11.8873378603697,46.1130736790955
"stazione007",12.4283737154785,46.187096021012
"stazione008",12.4481342655251,45.685905207711
"stazione009",11.4354729747188,45.8038178246563
"stazione010",12.222433727275,45.0267354996841
"stazione011",12.3561592671749,44.8566422278314
"stazione012",11.9735979704306,45.2833287563017
"stazione013",12.3147793701535,45.6971588191697
"stazione014",12.1552798135554,46.1198629427733
"stazione015",11.2693811083636,45.0719322676052
"stazione016",11.421784351571,45.3930692218708
"stazione017",12.1753834192156,45.5352660193508
"stazione018",11.4064397869902,45.4279352645971
"stazione019",11.8626156489896,46.2949004507669
"stazione020",12.4334916384644,44.9791216264194
"stazione021",11.7048458792879,45.314126737021
"stazione022",11.2121753917302,45.5695729388901
"stazione023",12.500605189919,45.7735679752868
"stazione024",10.9964293184679,45.4289440589272
"stazione025",12.1130144253808,46.3155334549344
"stazione026",12.3309245315971,46.3398045926633
"stazione027",11.8781986013966,45.1993044924567
"stazione028",11.549840451378,45.8430745879184
"stazione029",12.1590512331824,45.9259673523627
"stazione030",12.2482320573891,46.0305273972106
"stazione031",11.8899817530536,45.885475183639
"stazione032",11.9002578407872,45.2405362335561
"stazione033",10.6738517131664,45.435210623103
"stazione034",10.9841811664648,45.5502047215774
"stazione035",11.3816849705291,45.6085036178964
"stazione036",12.6709364663437,46.6103947143042
"stazione037",11.8703013117595,45.2128510873815
"stazione038",12.924263093098,45.7895296362223
"stazione039",12.1144291929974,46.4436319121465
"stazione040",11.8987818736354,46.0676391250734
"stazione041",12.4095812953304,45.9649856543608
"stazione042",12.4834503203239,45.5551226843068
"stazione043",10.8631583885312,45.5567820089988
"stazione044",11.3555189548483,45.3876861740931
"stazione045",12.1572298729989,45.2259890023019
"stazione046",11.917412814165,45.5285452327971
"stazione047",12.2048808329557,46.1896996972736
"stazione048",12.1355964709568,46.6215699539292
"stazione049",12.4966363414816,45.7202160963423
"stazione050",12.0822853692651,46.3839696004531
"stazione051",11.420713070843,45.9792405800744
"stazione052",12.0117310039029,46.3020050226471
"stazione053",12.3182882396002,46.2219815637919
"stazione054",12.3844600438847,46.0903239308287
"stazione055",12.2902251363452,45.8813951863902
"stazione056",12.2685399570886,46.2863167487468
"stazione057",12.3532558876314,45.7010086224798
"stazione058",11.0845452480452,45.2510184772301
"stazione059",10.8678728358921,45.4398323059008
"stazione060",11.9184242606776,46.4474303761866
"stazione061",12.1862795569958,45.8741772134127
"stazione062",11.8556776198617,45.9698948812367
"stazione063",11.5478442535828,45.613626322067
"stazione064",12.67440480459,45.6093708088164
"stazione065",11.4980487695229,45.6568261126885
"stazione066",11.6961304275574,46.0775720317981
"stazione067",12.1169440716136,46.4268738284763
"stazione068",12.0995059956113,45.1493418606401
"stazione069",11.8454475447874,46.4157883797956
"stazione070",11.057425614754,45.1107410162035
"stazione071",11.6064972483562,45.1697255639357
"stazione072",11.0923843299733,45.5117345553637
"stazione073",12.4816559546105,45.7482520655133
"stazione074",11.3901983134238,45.0318789083833
"stazione075",11.5650023098849,44.9371328946612
"stazione076",12.4854798727422,45.6895056866505
"stazione077",11.6415237884862,45.2414285177832
"stazione078",12.4936454338722,45.8117162505144
"stazione079",11.3859749585458,45.6800763578296
"stazione080",11.3966668899255,45.0252753439535
"stazione081",11.3056332582085,45.1617046747399
"stazione082",11.2297309123297,45.527869609007
"stazione083",12.0838810077306,46.6591190472217
"stazione084",10.9328785775449,45.3035548426383
"stazione085",11.897452970678,45.972284620536
"stazione086",12.2697260849621,45.9740293181516
"stazione087",10.7938304360471,45.3798316828069
"stazione088",12.2392129263739,45.866212024096
"stazione089",12.348634234158,46.4571004032871
"stazione090",11.5615627921086,45.7904181004517
"stazione091",11.9509400193037,46.0878057522523
"stazione092",12.176371037785,45.624839978276
"stazione093",10.8970244472351,45.5371774901036
"stazione094",12.3845936912756,45.5485260828657
"stazione095",11.6592217883887,45.9373388256956
"stazione096",11.8765302043037,46.3371139173543
"stazione097",11.2601943491785,45.5806449472982
"stazione098",11.9407774768187,46.2649475292219
"stazione099",11.9419059037889,45.2848990752263
"stazione100",12.0282854268599,45.9248294338343
