data,stazione,valore
2025-01-01,ST002,88.46
2025-01-01,ST004,124.31
2025-01-02,ST002,85.92
2025-01-03,ST002,103.47
2025-01-03,ST003,127.05
2025-01-07,ST001,109.57
2025-01-07,ST002,107.49
2025-01-07,ST004,109.29
2025-01-08,ST001,83.47
2025-01-08,ST003,82.13
2025-01-08,ST004,130.52
2025-01-09,ST001,97.76
2025-01-09,ST003,102.68
2025-01-10,ST001,71.47
2025-01-11,ST001,122.86
2025-01-11,ST003,106.87
2025-01-13,ST004,90.15
2025-01-14,ST002,93.35
2025-01-14,ST002,90.08
2025-01-14,ST003,84.31
2025-01-15,ST001,117.26
2025-01-15,ST002,89.31
2025-01-16,ST004,78.61
2025-01-16,ST004,110.67
2025-01-17,ST001,121.99
2025-01-18,ST004,99.05
2025-01-19,ST003,97.84
2025-01-19,ST004,106.46
2025-01-19,ST004,89.48
2025-01-20,ST002,95.91
2025-01-20,ST003,79.21
2025-01-21,ST001,88.18
2025-01-22,ST001,92.58
2025-01-22,ST002,74.69
2025-01-22,ST002,84.73
2025-01-22,ST003,103.47
2025-01-22,ST004,99.5
2025-01-23,ST004,77.51
2025-01-24,ST003,97.33
2025-01-25,ST003,104.28
2025-01-25,ST004,90.87
2025-01-26,ST003,91.47
2025-01-27,ST001,117.75
2025-01-27,ST004,80.1
2025-01-27,ST004,74.54
2025-01-28,ST001,98.39
2025-01-29,ST003,85.7
2025-01-29,ST003,119.67
2025-01-29,ST004,61.47
2025-01-30,ST004,112.47
