data,stazione,valore
2025-01-01,ST001,111.3
2025-01-01,ST001,93.73
2025-01-01,ST004,117.22
2025-01-02,ST001,102.85
2025-01-02,ST002,111.27
2025-01-03,ST002,114.58
2025-01-03,ST003,119.77
2025-01-03,ST004,70.47
2025-01-04,ST003,117.44
2025-01-06,ST001,111.53
2025-01-07,ST001,125.21
2025-01-08,ST002,108.02
2025-01-09,ST002,83.97
2025-01-09,ST003,97.17
2025-01-09,ST004,108.19
2025-01-09,ST004,79.19
2025-01-10,ST002,118.29
2025-01-11,ST004,99.42
2025-01-12,ST003,78.19
2025-01-12,ST004,91.37
2025-01-14,ST001,109.95
2025-01-14,ST001,96.42
2025-01-14,ST004,115.9
2025-01-15,ST002,96.33
2025-01-16,ST004,127.05
2025-01-16,ST004,101.31
2025-01-17,ST001,104.9
2025-01-17,ST003,117.12
2025-01-17,ST003,106.99
2025-01-18,ST001,122.86
2025-01-18,ST002,82.91
2025-01-18,ST002,90.48
2025-01-18,ST003,106.59
2025-01-19,ST002,88.14
2025-01-20,ST002,86.83
2025-01-21,ST002,114.03
2025-01-21,ST004,114.76
2025-01-22,ST003,91.76
2025-01-25,ST001,93.04
2025-01-25,ST004,89.81
2025-01-25,ST004,113.8
2025-01-26,ST001,109.7
2025-01-26,ST001,81.41
2025-01-27,ST001,80.16
2025-01-27,ST004,104.66
2025-01-27,ST004,120.57
2025-01-28,ST002,88.3
2025-01-29,ST001,110.79
2025-01-29,ST002,76.01
2025-01-30,ST002,94.26
