data,tipo_forestale,ndvi,biomassa_t_ha
2024-01-01,conifere,0.727,141.3
2024-02-01,conifere,0.781,165.5
2024-03-01,conifere,0.361,83.2
2024-04-01,conifere,0.864,174.1
2024-05-01,conifere,0.441,106.8
2024-06-01,conifere,0.347,89
2024-07-01,conifere,0.718,160.4
2024-08-01,conifere,0.461,99.2
2024-09-01,conifere,0.756,161.3
2024-10-01,conifere,0.506,122.2
2024-11-01,conifere,0.691,135.5
2024-12-01,conifere,0.754,148.8
2025-01-01,conifere,0.372,77.9
2025-02-01,conifere,0.269,56.7
2025-03-01,conifere,0.338,81.5
2025-04-01,conifere,0.692,149.8
2025-05-01,conifere,0.858,184
2025-06-01,conifere,0.608,137.8
2025-07-01,conifere,0.641,127.4
2025-08-01,conifere,0.378,102.8
2025-09-01,conifere,0.598,122.3
2025-10-01,conifere,0.367,86.9
2025-11-01,conifere,0.544,114.5
2025-12-01,conifere,0.456,101.1
