data,tipo_forestale,ndvi,biomassa_t_ha
2024-01-01,conifere,0.845,161
2024-02-01,conifere,0.859,172.4
2024-03-01,conifere,0.436,97.4
2024-04-01,conifere,0.79,167.3
2024-05-01,conifere,0.667,137.8
2024-06-01,conifere,0.587,104.4
2024-07-01,conifere,0.729,131.7
2024-08-01,conifere,0.338,91.4
2024-09-01,conifere,0.677,139.4
2024-10-01,conifere,0.708,133.2
2024-11-01,conifere,0.548,117.3
2024-12-01,conifere,0.717,158.8
2025-01-01,conifere,0.858,189.6
2025-02-01,conifere,0.416,91.4
2025-03-01,conifere,0.55,116.9
2025-04-01,conifere,0.861,160.9
2025-05-01,conifere,0.886,183.2
2025-06-01,conifere,0.326,73.6
2025-07-01,conifere,0.559,124.3
2025-08-01,conifere,0.614,136.2
2025-09-01,conifere,0.838,179.1
2025-10-01,conifere,0.34,76.3
2025-11-01,conifere,0.893,184.8
2025-12-01,conifere,0.865,162
